ANO;M“S;REGIONAL;MODALIDADE;OPERADOR;DISTRITO;MASSA (t);VIAGENS;PERCURSO (Km);Hora (h:mm);DIAS;COLETORES;HORAS;CLASSE
2021;Agosto;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.07A;209,42;19;1.518,00;98:05:00;;;98,08;RDO
2021;Agosto;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.08A;223,40;19;1.674,00;85:50:00;;;85,83;RDO
2021;Agosto;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.10A;272,12;26;2.282,00;129:30:00;;;129,50;RDO
2021;Agosto;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.14A;190,88;19;1.520,00;86:55:00;;;86,92;RDO
2021;Agosto;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.18DA;169,90;19;1.649,00;97:42:00;;;97,70;RDO
2021;Agosto;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.19A;206,62;19;1.623,00;84:00:00;;;84,00;RDO
2021;Agosto;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.21A;201,59;19;1.327,00;82:15:00;;;82,25;RDO
2021;Agosto;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.22A;221,29;19;1.640,00;94:05:00;;;94,08;RDO
2021;Agosto;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.24A;171,32;19;1.659,00;84:20:00;;;84,33;RDO
2021;Agosto;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.25A;198,76;19;1.225,00;82:15:00;;;82,25;RDO
2021;Agosto;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.26A;143,95;19;1.812,00;83:05:00;;;83,08;RDO
2021;Agosto;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.01B;186,63;18;1.201,00;74:00:00;;;74,00;RDO
2021;Agosto;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.02B;171,78;18;1.563,00;86:48:00;;;86,80;RDO
2021;Agosto;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.05B;203,07;21;1.501,00;98:45:00;;;98,75;RDO
2021;Agosto;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.06B;219,09;18;1.606,00;97:00:00;;;97,00;RDO
2021;Agosto;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.09B;192,11;18;1.628,00;81:10:00;;;81,17;RDO
2021;Agosto;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.11B;187,62;18;1.483,00;81:55:00;;;81,92;RDO
2021;Agosto;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.13B;210,03;23;1.480,00;92:31:00;;;92,52;RDO
2021;Agosto;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.15B;150,28;17;1.534,00;90:10:00;;;90,17;RDO
2021;Agosto;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.16B;188,87;18;1.175,00;81:15:00;;;81,25;RDO
2021;Agosto;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.18DB;159,50;14;1.245,00;94:05:00;;;94,08;RDO
2021;Agosto;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.20B;180,63;18;1.529,00;76:52:00;;;76,87;RDO
2021;Agosto;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.23B;157,42;19;1.694,00;81:00:00;;;81,00;RDO
2021;Agosto;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.27B;148,02;18;1.698,00;79:55:00;;;79,92;RDO
2021;Agosto;BARREIRO;COLETA VILAS E LOCAIS DIF. ACESSO;CONTRATADA;Vilas e locais de dif°cil acesso;379,11;101;7.795,00;378:20:00;68;6;378,33;RDO
2021;Agosto;BARREIRO;COLETA DEP.CLANDESTINA CARREG. MEC∂NICO;CONTRATADA;Locais dep. Clandestina;60,78;5;354,00;18:55:00;5;;18,92;RPU
2021;Agosto;BARREIRO;SERVIÄOS DE MULTITAREFA;CONTRATADA;Locais dep. Clandestina;303,92;;;;;;;RSU
2021;Agosto;BARREIRO;SERVIÄOS DE MULTITAREFA;CONTRATADA;Coleta URPV Cam. Carroceira Madeira;186,90;;;;;;;RSU
2021;Agosto;BARREIRO;COLETA CAÄAMBAS;CONTRATADA;URPV;1.622,66;;;;;;;RCC
2021;Agosto;DR.OPE;COLETA SELETIVA PMPV;SLU;LEV;3,01;18;642,00;60:45:00;19;32;60,75;RDO
2021;Agosto;BARREIRO;COLETA SELETIVA PMPV;COOPERATIVA;B.12CS;1,16;5;236,00;15:56:00;5;10;15,93;RDO
2021;Agosto;BARREIRO;COLETA SELETIVA PMPV;COOPERATIVA;B.18CS;2,99;4;390,00;19:18:00;4;8;19,30;RDO
2021;Setembro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.03A;141,46;14;1.018,00;64:20:00;13;;64,33;RDO
2021;Setembro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.04A;191,21;17;1.209,00;92:40:00;13;;92,67;RDO
2021;Setembro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.07A;193,29;17;1.255,00;88:35:00;13;;88,58;RDO
2021;Setembro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.08A;208,73;17;1.200,00;81:15:00;13;;81,25;RDO
2021;Setembro;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.10A;259,10;25;1.919,00;109:55:00;13;;109,92;RDO
